States,City,Station Code,Station Name,Board
Madhya Pradesh,Dewas,site_1404,"Bhopal Chauraha, Dewas",MPPCB
Madhya Pradesh,Gwalior,site_5273,"City Center, Gwalior",MPPCB
Madhya Pradesh,Gwalior,site_5275,"Phool Bagh, Gwalior",Mondelez Ind. Food
Madhya Pradesh,Indore,site_5248,"Chhoti Gwaltoli, Indore",MPPCB
Madhya Pradesh,Jabalpur,site_5249,"Marhatal, Jabalpur",MPPCB
Madhya Pradesh,Katni,site_5250,"Gole Bazar, Katni",MPPCB
Madhya Pradesh,Maihar,site_5068,"Sahilara, Maihar",KJS Cements
Madhya Pradesh,Mandideep,site_1403,"Sector-D Industrial Area, Mandideep",MPPCB
Madhya Pradesh,Pithampur,site_1402,"Sector-2 Industrial Area, Pithampur",MPPCB
Madhya Pradesh,Ratlam,site_5042,"Shasthri Nagar, Ratlam",IPCA Lab
Madhya Pradesh,Sagar,site_5269,"Deen Dayal Nagar, Sagar",MPPCB
Madhya Pradesh,Satna,site_1433,"Bandhavgar Colony, Satna",Birla Cement
Madhya Pradesh,Singrauli,site_1401,"Vindhyachal STPS, Singrauli",MPPCB
Madhya Pradesh,Ujjain,site_1400,"Mahakaleshwar Temple, Ujjain",MPPCB
Maharashtra,Aurangabad,site_198,"More Chowk Waluj, Aurangabad",MPCB
Maharashtra,Chandrapur,site_271,"Chandrapur, Chandrapur",MPCB
Maharashtra,Chandrapur,site_295,"MIDC Khutala, Chandrapur",MPCB
Maharashtra,Kalyan,site_5118,"Khadakpada, Kalyan",MPCB
Maharashtra,Mumbai,site_168,"Bandra, Mumbai",MPCB
Maharashtra,Mumbai,site_5113,"Borivali East, Mumbai",MPCB
Maharashtra,Mumbai,site_5107,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai",MPCB
Maharashtra,Mumbai,site_5120,"Colaba, Mumbai",MPCB
Maharashtra,Mumbai,site_5104,"Kurla, Mumbai",MPCB
Maharashtra,Mumbai,site_5112,"Powai, Mumbai",MPCB
Maharashtra,Mumbai,site_5119,"Sion, Mumbai",MPCB
Maharashtra,Mumbai,site_5102,"Vasai West, Mumbai",MPCB
Maharashtra,Mumbai,site_5106,"Vile Parle West, Mumbai",MPCB
Maharashtra,Mumbai,site_5115,"Worli, Mumbai",MPCB
Maharashtra,Nagpur,site_303,"Opp GPO Civil Lines, Nagpur",MPCB
Maharashtra,Nashik,site_304,"Gangapur Road, Nashik",MPCB
Maharashtra,Navi Mumbai,site_261,"Airoli, Navi Mumbai",MPCB
Maharashtra,Navi Mumbai,site_5114,"Mahape, Navi Mumbai",MPCB
Maharashtra,Navi Mumbai,site_5103,"Nerul, Navi Mumbai",MPCB
Maharashtra,Pune,site_292,"Karve Road, Pune",MPCB
Maharashtra,Solapur,site_302,"Solapur, Solapur",MPCB
Maharashtra,Thane,site_305,"Pimpleshwar Mandir, Thane",MPCB
Meghalaya ,Shillong,site_5131,"Lumpyngngad, Shillong",Meghalaya PCB
Mizoram,Aizawl,site_5346,"Sikulpuikawn, Aizawl",Mizoram PCB
Nagaland,Kohima,site_5375,"PWD Juction, Kohima",NPCB
Odisha,Brajrajnagar,site_1410,"GM Office, Brajrajnagar",OSPCB
Odisha,Talcher,site_1408,"Talcher Coalfields,Talcher",OSPCB
Punjab,Amritsar,site_256,"Golden Temple, Amritsar",PPCB
Punjab,Bathinda,site_1549,"Hardev Nagar, Bathinda",PPCB
Punjab,Jalandhar,site_1438,"Civil Line, Jalandhar",PPCB
Punjab,Khanna,site_1450,"Kalal Majra, Khanna",PPCB
Punjab,Ludhiana,site_253,"Punjab Agricultural University, Ludhiana",PPCB
Punjab,Mandi Gobindgarh,site_255,"RIMT University, Mandi Gobindgarh",PPCB
Punjab,Patiala,site_1437,"Model Town, Patiala",PPCB
Punjab,Rupnagar,site_1538,"Ratanpura, Rupnagar",Ambuja Cements
Rajasthan,Alwar,site_1390,"Moti Doongri, Alwar",RSPCB
Rajasthan,Ajmer,site_1392,"Civil Lines, Ajmer",RSPCB
Rajasthan,Bhiwadi,site_1391,"RIICO Ind. Area III, Bhiwadi",RSPCB
Rajasthan,Jaipur,site_1393,"Adarsh Nagar, Jaipur",RSPCB
Rajasthan,Jaipur,site_134,"Police Commissionerate, Jaipur",RSPCB
Rajasthan,Jaipur,site_1396,"Shastri Nagar, Jaipur",RSPCB
Rajasthan,Jodhpur,site_136,"Collectorate, Jodhpur",RSPCB
Rajasthan,Kota,site_1394,"Shrinath Puram, Kota",RSPCB
Rajasthan,Pali,site_1395,"Indira Colony Vistar, Pali",RSPCB
Rajasthan,Udaipur,site_1397,"Ashok Nagar, Udaipur",RSPCB
Tamil Nadu,Chennai,site_293,"Alandur Bus Depot, Chennai",CPCB
Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai",TNPCB
Tamil Nadu,Chennai,site_306,"Manali, Chennai",CPCB
Tamil Nadu,Chennai,site_288,"Velachery Res. Area, Chennai",CPCB
Tamil Nadu,Coimbatore,site_5094,"SIDCO Kurichi, Coimbatore",TNPCB
Telangana,Hyderabad,site_199,"Bollaram Industrial Area, Hyderabad",TSPCB
Telangana,Hyderabad,site_262,"Central University, Hyderabad",TSPCB
Telangana,Hyderabad,site_251,"ICRISAT Patancheru, Hyderabad",TSPCB
Telangana,Hyderabad,site_275,"IDA Pashamylaram, Hyderabad",TSPCB
Telangana,Hyderabad,site_294,"Sanathnagar, Hyderabad",TSPCB
Telangana,Hyderabad,site_298,"Zoo Park, Hyderabad",TSPCB
Uttar Pradesh,Agra,site_307,"Sanjay Palace, Agra",UPPCB
Uttar Pradesh,Baghpat,site_1569,"New Collectorate, Baghpat",UPPCB
Uttar Pradesh,Bulandshahr,site_1542,"Yamunapuram, Bulandshahr",UPPCB
Uttar Pradesh,Ghaziabad,site_5082,"Indirapuram, Ghaziabad",UPPCB
Uttar Pradesh,Ghaziabad,site_5083,"Loni, Ghaziabad",UPPCB
Uttar Pradesh,Ghaziabad,site_5081,"Sanjay Nagar, Ghaziabad",UPPCB
Uttar Pradesh,Ghaziabad,site_144,"Vasundhara, Ghaziabad",UPPCB
Uttar Pradesh,Greater Noida,site_1541,"Knowledge Park - III, Greater Noida",UPPCB
Uttar Pradesh,Greater Noida,site_5121,"Knowledge Park - V, Greater Noida",UPPCB
Uttar Pradesh,Hapur,site_5023,"Anand Vihar, Hapur",UPPCB
Uttar Pradesh,Kanpur,site_276,"Nehru Nagar, Kanpur",UPPCB
Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow",CPCB
Uttar Pradesh,Lucknow,site_5128,"Gomti Nagar, Lucknow",UPPCB
Uttar Pradesh,Lucknow,site_277,"Lalbagh, Lucknow",CPCB
Uttar Pradesh,Lucknow,site_279,"Talkatora District Industries Center, Lucknow",CPCB
Uttar Pradesh,Meerut,site_5258,"Ganga Nagar, Meerut",UPPCB
Uttar Pradesh,Meerut,site_5109,"Jai Bhim Nagar, Meerut",UPPCB
Uttar Pradesh,Meerut,site_5257,"Pallavpuram Phase 2, Meerut",UPPCB
Uttar Pradesh,Moradabad,site_1398,"Lajpat Nagar, Moradabad",UPPCB
Uttar Pradesh,Muzaffarnagar,site_1550,"New Mandi, Muzaffarnagar",UPPCB
Uttar Pradesh,Noida,site_153,"Sector - 125, Noida",UPPCB
Uttar Pradesh,Noida,site_111,"Sector - 62, Noida",IMD
Uttar Pradesh,Noida,site_5123,"Sector-1, Noida",UPPCB
Uttar Pradesh,Noida,site_5122,"Sector-116, Noida",UPPCB
Uttar Pradesh,Varanasi,site_273,"Ardhali Bazar, Varanasi",UPPCB
West Bengal,Asansol,site_1418,"Asansol Court Area, Asansol",WBPCB
West Bengal,Howrah,site_5101,"Belur Math, Howrah",WBPCB
West Bengal,Howrah,site_274,"Ghusuri, Howrah",WBPCB
West Bengal,Howrah,site_1416,"Padmapukur, Howrah",WBPCB
West Bengal,Kolkata,site_5238,"Ballygunge, Kolkata",WBPCB
West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata",WBPCB
West Bengal,Kolkata,site_5110,"Fort William, Kolkata",WBPCB
West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata",WBPCB
West Bengal,Kolkata,site_296,"Rabindra Bharati University, Kolkata",WBPCB
West Bengal,Kolkata,site_5126,"Rabindra Sarobar, Kolkata",WBPCB
West Bengal,Kolkata,site_309,"Victoria, Kolkata",WBPCB
West Bengal,Siliguri,site_1419,"Ward-32 Bapupara, Siliguri",WBPCB
