,States,City,st_Code,st_Name,Board,Latitude,Longitude
146,Maharashtra,Mumbai,site_5115,"Worli, Mumbai",MPCB,18.993616,72.812811
147,Maharashtra,Nagpur,site_303,"Opp GPO Civil Lines, Nagpur",MPCB,21.152875,79.051753
148,Maharashtra,Nashik,site_304,"Gangapur Road, Nashik",MPCB,20.007329,73.776243
149,Maharashtra,Navi Mumbai,site_261,"Airoli, Navi Mumbai",MPCB,19.1494,72.9986
150,Maharashtra,Navi Mumbai,site_5114,"Mahape, Navi Mumbai",MPCB,19.113505,73.008978
151,Maharashtra,Navi Mumbai,site_5103,"Nerul, Navi Mumbai",MPCB,19.008751,73.01662
152,Maharashtra,Pune,site_292,"Karve Road, Pune",MPCB,18.501174,73.816553
153,Maharashtra,Solapur,site_302,"Solapur, Solapur",MPCB,17.659919,75.906391
154,Maharashtra,Thane,site_305,"Pimpleshwar Mandir, Thane",MPCB,19.192056,72.958519
155,Meghalaya ,Shillong,site_5131,"Lumpyngngad, Shillong",Meghalaya PCB,25.5586,91.8985
156,Mizoram,Aizawl,site_5346,"Sikulpuikawn, Aizawl",Mizoram PCB,23.717634,92.719284
157,Nagaland,Kohima,site_5375,"PWD Juction, Kohima",NPCB,25.663541,94.098988
158,Odisha,Brajrajnagar,site_1410,"GM Office, Brajrajnagar",OSPCB,21.8005,83.839698
159,Odisha,Talcher,site_1408,"Talcher Coalfields,Talcher",OSPCB,20.936071,85.170702
160,Punjab,Amritsar,site_256,"Golden Temple, Amritsar",PPCB,31.62,74.876512
161,Punjab,Bathinda,site_1549,"Hardev Nagar, Bathinda",PPCB,30.233011,74.907758
162,Punjab,Jalandhar,site_1438,"Civil Line, Jalandhar",PPCB,31.321907,75.578914
163,Punjab,Khanna,site_1450,"Kalal Majra, Khanna",PPCB,30.736056,76.209694
164,Punjab,Ludhiana,site_253,"Punjab Agricultural University, Ludhiana",PPCB,30.9028,75.8086
165,Punjab,Mandi Gobindgarh,site_255,"RIMT University, Mandi Gobindgarh",PPCB,30.649961,76.331442
166,Punjab,Patiala,site_1437,"Model Town, Patiala",PPCB,30.349388,76.366642
167,Punjab,Rupnagar,site_1538,"Ratanpura, Rupnagar",Ambuja Cements,30.032545,76.562305
168,Rajasthan,Alwar,site_1390,"Moti Doongri, Alwar",RSPCB,27.554793,76.611536
169,Rajasthan,Ajmer,site_1392,"Civil Lines, Ajmer",RSPCB,26.470859,74.646594
170,Rajasthan,Bhiwadi,site_1391,"RIICO Ind. Area III, Bhiwadi",RSPCB,28.194909,76.862296
